Time(ms),Distance(cm),Heading,Roll,Pitch,Obstacle_Detected,Sys_Cal,Gyro_Cal,Accel_Cal,Mag_Cal
222959,185.33,309.88,4.50,-1.37,0,0,3,0,3
223159,185.32,309.88,4.50,-1.37,0,0,3,0,3
223359,185.33,309.88,4.50,-1.37,0,0,3,0,3
223559,185.60,309.88,4.50,-1.37,0,0,3,0,3
223883,185.63,309.88,4.50,-1.37,0,0,3,0,3
224094,141.41,309.88,4.50,-1.37,0,0,3,0,3
224294,42.38,309.88,4.50,-1.37,0,0,3,0,3
224603,44.13,309.88,4.50,-1.37,0,0,3,0,3
224809,75.78,309.88,4.50,-1.37,0,0,3,0,3
224921,29.32,309.88,4.50,-1.37,1,0,3,0,3
225028,13.28,309.88,4.50,-1.37,1,0,3,0,3
225234,9.68,309.88,4.50,-1.37,1,0,3,0,3
225437,9.69,309.88,4.50,-1.37,1,0,3,0,3
225859,53.51,309.88,4.50,-1.37,0,0,3,0,3
226291,46.06,309.06,4.50,-1.50,0,0,3,0,3
226405,42.17,306.69,4.44,-1.69,0,0,3,0,3
226521,49.18,307.31,4.44,-1.69,0,0,3,0,3
226644,143.64,307.94,3.94,-2.25,0,0,3,0,3
226754,48.65,306.81,3.81,-2.81,0,0,3,0,3
227080,78.01,303.94,3.00,-2.31,0,0,3,0,3
227398,56.17,303.00,4.25,-1.75,0,0,3,0,3
227826,53.31,302.88,4.44,-1.56,0,0,3,0,3
228272,45.13,303.00,4.50,-1.44,0,0,3,0,3
228810,49.40,303.00,4.50,-1.37,0,0,3,0,3
228921,45.20,303.00,4.50,-1.37,0,0,3,0,3
229036,42.17,303.00,4.50,-1.37,0,0,3,0,3
229926,174.65,303.00,4.50,-1.37,0,0,3,0,3
230047,157.31,303.00,4.50,-1.37,0,0,3,0,3
230844,48.57,303.00,4.50,-1.37,0,0,3,0,3
231271,176.11,303.00,4.50,-1.37,0,0,3,0,3
231473,51.96,303.00,4.50,-1.37,0,0,3,0,3
231680,51.49,303.00,4.50,-1.37,0,0,3,0,3
231881,51.54,303.00,4.50,-1.37,0,0,3,0,3
232082,54.08,303.00,4.50,-1.37,0,0,3,0,3
232394,52.65,303.00,4.50,-1.37,0,0,3,0,3
232599,53.55,303.00,4.50,-1.37,0,0,3,0,3
232801,52.43,303.00,4.50,-1.37,0,0,3,0,3
233001,53.67,303.00,4.50,-1.37,0,0,3,0,3
233202,51.98,303.00,4.50,-1.37,0,0,3,0,3
233402,51.69,303.00,4.50,-1.37,0,0,3,0,3
233603,51.60,303.00,4.50,-1.37,0,0,3,0,3
233804,51.71,303.00,4.50,-1.37,0,0,3,0,3
234004,51.69,303.00,4.50,-1.37,0,0,3,0,3
